['LD', 'SECOND']
['ST', 'TEMP']
['ADD', 'FIRST']
['ST', 'SECOND']
['DIV', '#2']
['MUL', '#2']
['CMP', 'SECOND']
['JNZ', '.GO']
['LD', 'RESULT']
['ADD', 'SECOND']
['ST', 'RESULT']
['LD', 'TEMP']
['ST', 'FIRST']
['LD', 'SECOND']
['CMP', 'LIMIT']
['JS', '.LOOP']
['LD', 'RESULT']
['SUB', 'SECOND']
['HLT']
DEBUG:root:{ Tick:838, BR:0, AC:2584, SP:256, PS:2, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:840, BR:0, AC:2584, SP:256, PS:2, IP:8, AR:8 }  JNZ .GO
DEBUG:root:{ Tick:845, BR:0, AC:798, SP:256, PS:2, IP:9, AR:9 }  LD RESULT
DEBUG:root:{ Tick:851, BR:0, AC:3382, SP:256, PS:2, IP:10, AR:10 }  ADD SECOND
DEBUG:root:{ Tick:854, BR:0, AC:3382, SP:256, PS:2, IP:11, AR:11 }  ST RESULT
DEBUG:root:{ Tick:859, BR:0, AC:1597, SP:256, PS:2, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:862, BR:0, AC:1597, SP:256, PS:2, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:867, BR:0, AC:2584, SP:256, PS:2, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:872, BR:0, AC:2584, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:875, BR:0, AC:2584, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:880, BR:0, AC:2584, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:883, BR:0, AC:2584, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
DEBUG:root:{ Tick:889, BR:0, AC:4181, SP:256, PS:1, IP:3, AR:3 }  ADD FIRST
DEBUG:root:{ Tick:892, BR:0, AC:4181, SP:256, PS:1, IP:4, AR:4 }  ST SECOND
DEBUG:root:{ Tick:896, BR:0, AC:2090, SP:256, PS:1, IP:5, AR:5 }  DIV #2
DEBUG:root:{ Tick:900, BR:0, AC:4180, SP:256, PS:1, IP:6, AR:6 }  MUL #2
DEBUG:root:{ Tick:905, BR:0, AC:4180, SP:256, PS:1, IP:7, AR:7 }  CMP SECOND
DEBUG:root:{ Tick:908, BR:0, AC:4180, SP:256, PS:1, IP:11, AR:11 }  JNZ .GO
DEBUG:root:{ Tick:913, BR:0, AC:2584, SP:256, PS:1, IP:12, AR:12 }  LD TEMP
DEBUG:root:{ Tick:916, BR:0, AC:2584, SP:256, PS:1, IP:13, AR:13 }  ST FIRST
DEBUG:root:{ Tick:921, BR:0, AC:4181, SP:256, PS:1, IP:14, AR:14 }  LD SECOND
DEBUG:root:{ Tick:926, BR:0, AC:4181, SP:256, PS:1, IP:15, AR:15 }  CMP LIMIT
DEBUG:root:{ Tick:929, BR:0, AC:4181, SP:256, PS:1, IP:0, AR:0 }  JS .LOOP
DEBUG:root:{ Tick:934, BR:0, AC:4181, SP:256, PS:1, IP:1, AR:1 }  LD SECOND
DEBUG:root:{ Tick:937, BR:0, AC:4181, SP:256, PS:1, IP:2, AR:2 }  ST TEMP
